CPU 3 is empty
cpus=4
             ssh-24203 [001] 76740.105633: funcgraph_exit:         1.157 us   |                }
             ssh-24203 [001] 76740.105633: funcgraph_exit:         4.464 us   |              }
             ssh-24203 [001] 76740.105634: funcgraph_exit:         4.848 us   |            }
             ssh-24203 [001] 76740.105634: funcgraph_exit:         5.314 us   |          }
             ssh-24203 [001] 76740.105634: funcgraph_exit:         5.715 us   |        }
             ssh-24203 [001] 76740.105634: funcgraph_exit:         6.135 us   |      }
             ssh-24203 [001] 76740.105634: funcgraph_exit:         6.573 us   |    }
             ssh-24203 [001] 76740.105634: funcgraph_exit:         9.537 us   |  }
             ssh-24203 [001] 76740.228314: funcgraph_entry:                   |  ksys_ioctl() {
             ssh-24203 [001] 76740.228317: funcgraph_entry:                   |    __fdget() {
             ssh-24203 [001] 76740.228317: funcgraph_entry:        0.658 us   |      __fget_light();
             ssh-24203 [001] 76740.228318: funcgraph_exit:         1.923 us   |    }
             ssh-24203 [001] 76740.228319: funcgraph_entry:        0.549 us   |    security_file_ioctl();
             ssh-24203 [001] 76740.228320: funcgraph_entry:                   |    do_vfs_ioctl() {
             ssh-24203 [001] 76740.228321: funcgraph_entry:                   |      tty_ioctl() {
             ssh-24203 [001] 76740.228322: funcgraph_entry:        0.443 us   |        tty_paranoia_check.isra.3();
             ssh-24203 [001] 76740.228323: funcgraph_entry:        0.459 us   |        tty_jobctrl_ioctl();
             ssh-24203 [001] 76740.228324: funcgraph_entry:                   |        tty_ldisc_ref_wait() {
             ssh-24203 [001] 76740.228324: funcgraph_entry:        0.471 us   |          ldsem_down_read();
             ssh-24203 [001] 76740.228325: funcgraph_exit:         1.325 us   |        }
             ssh-24203 [001] 76740.228326: funcgraph_entry:                   |        n_tty_ioctl() {
             ssh-24203 [001] 76740.228326: funcgraph_entry:                   |          n_tty_ioctl_helper() {
             ssh-24203 [001] 76740.228327: funcgraph_entry:                   |            tty_mode_ioctl() {
             ssh-24203 [001] 76740.228328: funcgraph_entry:                   |              copy_termios() {
             ssh-24203 [001] 76740.228328: funcgraph_entry:        0.502 us   |                down_read();
             ssh-24203 [001] 76740.228329: funcgraph_entry:        0.456 us   |                up_read();
             ssh-24203 [001] 76740.228330: funcgraph_exit:         2.519 us   |              }
             ssh-24203 [001] 76740.228331: funcgraph_exit:         4.107 us   |            }
             ssh-24203 [001] 76740.228331: funcgraph_exit:         5.114 us   |          }
             ssh-24203 [001] 76740.228332: funcgraph_exit:         5.967 us   |        }
             ssh-24203 [001] 76740.228332: funcgraph_entry:                   |        tty_ldisc_deref() {
             ssh-24203 [001] 76740.228333: funcgraph_entry:        0.476 us   |          ldsem_up_read();
             ssh-24203 [001] 76740.228334: funcgraph_exit:         1.312 us   |        }
             ssh-24203 [001] 76740.228334: funcgraph_exit:       + 12.793 us  |      }
             ssh-24203 [001] 76740.228334: funcgraph_exit:       + 13.958 us  |    }
             ssh-24203 [001] 76740.228335: funcgraph_exit:       + 21.572 us  |  }
             ssh-24203 [001] 76740.228339: funcgraph_entry:                   |  ksys_ioctl() {
             ssh-24203 [001] 76740.228340: funcgraph_entry:                   |    __fdget() {
             ssh-24203 [001] 76740.228340: funcgraph_entry:        0.481 us   |      __fget_light();
             ssh-24203 [001] 76740.228341: funcgraph_exit:         1.318 us   |    }
             ssh-24203 [001] 76740.228342: funcgraph_entry:        0.459 us   |    security_file_ioctl();
             ssh-24203 [001] 76740.228342: funcgraph_entry:                   |    do_vfs_ioctl() {
             ssh-24203 [001] 76740.228343: funcgraph_entry:                   |      tty_ioctl() {
             ssh-24203 [001] 76740.228343: funcgraph_entry:        0.424 us   |        tty_paranoia_check.isra.3();
             ssh-24203 [001] 76740.228344: funcgraph_entry:        0.471 us   |        tty_jobctrl_ioctl();
             ssh-24203 [001] 76740.228345: funcgraph_entry:                   |        tty_ldisc_ref_wait() {
             ssh-24203 [001] 76740.228346: funcgraph_entry:        0.437 us   |          ldsem_down_read();
             ssh-24203 [001] 76740.228346: funcgraph_exit:         1.285 us   |        }
             ssh-24203 [001] 76740.228347: funcgraph_entry:                   |        n_tty_ioctl() {
             ssh-24203 [001] 76740.228347: funcgraph_entry:                   |          n_tty_ioctl_helper() {
             ssh-24203 [001] 76740.228348: funcgraph_entry:                   |            tty_mode_ioctl() {
             ssh-24203 [001] 76740.228348: funcgraph_entry:                   |              set_termios() {
             ssh-24203 [001] 76740.228349: funcgraph_entry:                   |                tty_check_change() {
             ssh-24203 [001] 76740.228349: funcgraph_entry:                   |                  __tty_check_change.part.0() {
             ssh-24203 [001] 76740.228350: funcgraph_entry:        0.416 us   |                    __rcu_read_lock();
             ssh-24203 [001] 76740.228351: funcgraph_entry:                   |                    _raw_spin_lock_irqsave() {
             ssh-24203 [001] 76740.228351: funcgraph_entry:                   |                      preempt_count_add() {
             ssh-24203 [001] 76740.228621: funcgraph_exit:       + 21.139 us  |                      }
             ssh-24203 [001] 76740.228622: funcgraph_entry:        0.735 us   |                      preempt_count_sub();
             ssh-24203 [001] 76740.228624: funcgraph_exit:       ! 267.656 us |                    }
             ssh-24203 [001] 76740.228624: funcgraph_entry:        0.821 us   |                    __rcu_read_unlock();
             ssh-24203 [001] 76740.228626: funcgraph_exit:       ! 276.493 us |                  }
             ssh-24203 [001] 76740.228626: funcgraph_exit:       ! 277.546 us |                }
             ssh-24203 [001] 76740.228627: funcgraph_entry:        0.652 us   |                down_read();
             ssh-24203 [001] 76740.228628: funcgraph_entry:        0.623 us   |                up_read();
