CPU 2 is empty
cpus=4
             ssh-3222  [001]  4278.019764: funcgraph_exit:       + 49.684 us  |            }
             ssh-3222  [001]  4278.019765: funcgraph_exit:       + 51.048 us  |          }
             ssh-3222  [001]  4278.019766: funcgraph_entry:                   |          _raw_spin_unlock_irqrestore() {
             ssh-3222  [001]  4278.019766: funcgraph_entry:        0.597 us   |            preempt_count_sub();
             ssh-3222  [001]  4278.019767: funcgraph_exit:         1.653 us   |          }
             ssh-3222  [001]  4278.019768: funcgraph_exit:       + 55.457 us  |        }
             ssh-3222  [001]  4278.019768: funcgraph_exit:       + 56.316 us  |      }
             ssh-3222  [001]  4278.019769: funcgraph_entry:                   |      irq_exit() {
             ssh-3222  [001]  4278.019770: funcgraph_entry:        0.703 us   |        irqtime_account_irq();
             ssh-3222  [001]  4278.019771: funcgraph_entry:        0.535 us   |        preempt_count_sub();
             ssh-3222  [001]  4278.019772: funcgraph_entry:        0.602 us   |        idle_cpu();
             ssh-3222  [001]  4278.019773: funcgraph_entry:        0.639 us   |        rcu_irq_exit();
             ssh-3222  [001]  4278.019774: funcgraph_exit:         5.006 us   |      }
             ssh-3222  [001]  4278.019774: funcgraph_exit:       + 72.657 us  |    }
             ssh-3222  [001]  4278.019775: funcgraph_entry:                   |    __fdget() {
             ssh-3222  [001]  4278.019778: funcgraph_entry:                   |      smp_irq_work_interrupt() {
             ssh-3222  [001]  4278.019779: funcgraph_entry:                   |        irq_enter() {
             ssh-3222  [001]  4278.019779: funcgraph_entry:        0.554 us   |          rcu_irq_enter();
             ssh-3222  [001]  4278.019780: funcgraph_entry:        0.659 us   |          irqtime_account_irq();
             ssh-3222  [001]  4278.019781: funcgraph_entry:        0.662 us   |          preempt_count_add();
             ssh-3222  [001]  4278.019782: funcgraph_exit:         3.703 us   |        }
             ssh-3222  [001]  4278.019783: funcgraph_entry:                   |        __wake_up() {
             ssh-3222  [001]  4278.019784: funcgraph_entry:                   |          __wake_up_common_lock() {
             ssh-3222  [001]  4278.019784: funcgraph_entry:                   |            __lock_text_start() {
             ssh-3222  [001]  4278.019785: funcgraph_entry:        0.587 us   |              preempt_count_add();
             ssh-3222  [001]  4278.019786: funcgraph_exit:         1.625 us   |            }
             ssh-3222  [001]  4278.019787: funcgraph_entry:        0.564 us   |            __wake_up_common();
             ssh-3222  [001]  4278.019788: funcgraph_entry:                   |            _raw_spin_unlock_irqrestore() {
             ssh-3222  [001]  4278.019788: funcgraph_entry:        0.513 us   |              preempt_count_sub();
             ssh-3222  [001]  4278.019789: funcgraph_exit:         1.523 us   |            }
             ssh-3222  [001]  4278.019789: funcgraph_exit:         5.645 us   |          }
             ssh-3222  [001]  4278.019790: funcgraph_exit:         6.646 us   |        }
             ssh-3222  [001]  4278.019790: funcgraph_entry:                   |        __wake_up() {
             ssh-3222  [001]  4278.019791: funcgraph_entry:                   |          __wake_up_common_lock() {
             ssh-3222  [001]  4278.019792: funcgraph_entry:                   |            __lock_text_start() {
             ssh-3222  [001]  4278.019792: funcgraph_entry:        0.593 us   |              preempt_count_add();
             ssh-3222  [001]  4278.019793: funcgraph_exit:         1.595 us   |            }
             ssh-3222  [001]  4278.019793: funcgraph_entry:        0.428 us   |            __wake_up_common();
             ssh-3222  [001]  4278.019794: funcgraph_entry:                   |            _raw_spin_unlock_irqrestore() {
             ssh-3222  [001]  4278.019795: funcgraph_entry:        0.418 us   |              preempt_count_sub();
             ssh-3222  [001]  4278.019795: funcgraph_exit:         1.262 us   |            }
             ssh-3222  [001]  4278.019796: funcgraph_exit:         5.005 us   |          }
             ssh-3222  [001]  4278.019796: funcgraph_exit:         6.088 us   |        }
             ssh-3222  [001]  4278.019797: funcgraph_entry:                   |        irq_exit() {
             ssh-3222  [001]  4278.019798: funcgraph_entry:        0.721 us   |          irqtime_account_irq();
             ssh-3222  [001]  4278.019799: funcgraph_entry:        0.558 us   |          preempt_count_sub();
             ssh-3222  [001]  4278.019800: funcgraph_entry:        0.554 us   |          idle_cpu();
             ssh-3222  [001]  4278.019801: funcgraph_entry:        0.596 us   |          rcu_irq_exit();
             ssh-3222  [001]  4278.019802: funcgraph_exit:         4.763 us   |        }
             ssh-3222  [001]  4278.019802: funcgraph_exit:       + 23.997 us  |      }
             ssh-3222  [001]  4278.019803: funcgraph_entry:        0.724 us   |      __fget_light();
             ssh-3222  [001]  4278.019804: funcgraph_exit:       + 28.792 us  |    }
             ssh-3222  [001]  4278.019805: funcgraph_entry:        0.787 us   |    security_file_ioctl();
             ssh-3222  [001]  4278.019806: funcgraph_entry:                   |    do_vfs_ioctl() {
             ssh-3222  [001]  4278.019807: funcgraph_entry:                   |      sock_ioctl() {
             ssh-3222  [001]  4278.019808: funcgraph_entry:                   |        sock_do_ioctl() {
             ssh-3222  [001]  4278.019809: funcgraph_entry:                   |          inet_ioctl() {
             ssh-3222  [001]  4278.019809: funcgraph_entry:                   |            udp_ioctl() {
             ssh-3222  [001]  4278.019810: funcgraph_entry:                   |              first_packet_length() {
             ssh-3222  [001]  4278.019811: funcgraph_entry:                   |                _raw_spin_lock_bh() {
             ssh-3222  [001]  4278.019811: funcgraph_entry:        0.548 us   |                  preempt_count_add();
             ssh-3222  [001]  4278.019812: funcgraph_exit:         1.667 us   |                }
             ssh-3222  [001]  4278.019813: funcgraph_entry:        0.679 us   |                __first_packet_length.part.3();
             ssh-3222  [001]  4278.019814: funcgraph_entry:                   |                _raw_spin_lock() {
             ssh-3222  [001]  4278.019815: funcgraph_entry:        0.595 us   |                  preempt_count_add();
             ssh-3222  [001]  4278.019816: funcgraph_exit:         1.664 us   |                }
             ssh-3222  [001]  4278.019816: funcgraph_entry:                   |                _raw_spin_unlock() {
             ssh-3222  [001]  4278.019817: funcgraph_entry:        0.875 us   |                  preempt_count_sub();
             ssh-3222  [001]  4278.019818: funcgraph_exit:         1.976 us   |                }
             ssh-3222  [001]  4278.019819: funcgraph_entry:                   |                __first_packet_length.part.3() {
